segment_id,time_to_failure,f0_semitone_mean,f0_semitone_cv,jitter_local_mean,jitter_local_cv,formant1_hz_mean,formant1_hz_cv,formant2_hz_mean,formant2_hz_cv,formant3_hz_mean,formant3_hz_cv,formant1_bandwidth_hz_mean,formant1_bandwidth_hz_cv,shimmer_local_mean,shimmer_local_cv,loudness_db_mean,loudness_db_cv,hnr_db_mean,hnr_db_cv,alpha_ratio_mean,alpha_ratio_cv,hammarberg_index_mean,hammarberg_index_cv,spectral_slope_0_500_mean,spectral_slope_0_500_cv,spectral_slope_500_1500_mean,spectral_slope_500_1500_cv,formant1_relative_energy_mean,formant1_relative_energy_cv,formant2_relative_energy_mean,formant2_relative_energy_cv,formant3_relative_energy_mean,formant3_relative_energy_cv,h1_h2_ratio_mean,h1_h2_ratio_cv,h1_a3_ratio_mean,h1_a3_ratio_cv,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm
0,1.4307972192764282,3.0725186591164246,3.033940337522067,6.006510136272863,2.8749846184309447,238.77318533745898,0.4659210724019773,745.7358576969949,0.4115142756585894,1098.5860078382145,0.3216463439742126,105.39737347098234,0.7026743510441791,25.06256145049914,0.6542459407104123,85.01816236363662,0.29253269843195634,0.32674851413372863,3.7692005909325954,594.6774890381865,1.9117393850823192e-16,1855.3978477208502,3.6764138061688814e-16,-0.0008725026515288176,2.4847725298329903e-16,-0.0017541608954391502,3.708447185105253e-16,9928325072779.385,0.898453929075123,377861050798.4713,3.5147244162215094,23607043459.767292,1.339800880166708,5.084604220057624,4.016977916180783,20.158313301810956,4.725545057153979,0.2445531189441681,0.3326537013053894,1.2742005586624146,1.0296474695205688,17.472341537475586,11.768738746643066,19.384801864624023,11.418475151062012,0.9254101514816284,1.2562865018844604,15.538376808166504,0.1827583760023117,8.804787635803223,0.7022185921669006,10.289868354797363,0.7551528215408325,13.115460395812988,0.7300745248794556
1,1.3914989233016968,2.6176737690235417,3.3791904852738073,7.486876297876654,3.16433203029183,242.6083303157677,0.45940421976874707,748.0336612924943,0.3991309305641131,1134.5625823541955,0.2821988378419454,103.7870773578667,0.7056419370108704,26.222907550539695,0.6624034687300483,86.61197229921383,0.2738606126163745,0.18760649627910944,5.586484036954375,742.1107778991967,3.537861371462686e-18,1493.5399511116561,3.044761879640322e-16,-0.0019016452296134424,3.420834198519445e-16,-0.0016680514547217948,1.2999625034544665e-16,20416919528855.1,0.8370858775191534,693508527753.3462,4.585997867263612,32856983011.45761,1.233115042128927,7.1866627562811844,4.231983282879148,19.22929397920573,5.260232384102548,0.2445531189441681,0.39550527930259705,1.333191156387329,1.0886380672454834,17.39824104309082,12.403674125671387,19.043254852294922,11.409350395202637,1.0397067070007324,1.1891467571258545,15.614213943481445,0.18645812571048737,8.440997123718262,0.7394932508468628,9.881409645080566,0.8105723857879639,12.522028923034668,0.8021421432495117
2,1.353196144104004,3.2924255680260295,2.946161140883386,6.385385643505429,3.060943736507723,244.11958346625923,0.44514657258104456,688.7688541880538,0.39466981204374124,1118.6606101642342,0.25641241330726283,110.2939617467468,0.6672600485058465,25.213295879832327,0.6812715598601202,90.06608714067328,0.24981566270505515,0.3880810730065369,3.5091460673974386,743.5734203759599,1.5289255183991725e-16,1456.154106185795,1.5614671172325823e-16,-0.0018777722532273766,3.464324826257469e-16,-0.0017539149819392962,0.0,23778281688078.875,0.8147250931677116,1131880455343.9663,3.875511659970126,46294998564.68916,1.3732519258417222,11.108881988338611,3.7902832547154635,23.32376149969374,4.461390037994431,0.2445531189441681,0.495748370885849,1.4588327407836914,1.2142796516418457,17.85939598083496,11.617532730102539,17.71558380126953,12.366186141967773,1.1148911714553833,1.111322045326233,15.559150695800781,0.198975071310997,8.182262420654297,0.7458983659744263,9.392742156982422,0.8558968901634216,11.81108283996582,0.8792057037353516
3,1.3137978315353394,2.222861884655624,3.5505115710171635,9.455178983534324,2.9164119367953485,235.66451961419267,0.4618363482477629,736.3807116858312,0.39523070028012375,1162.322998175898,0.24343962584946863,107.91763334154207,0.7133485536655836,24.398141671336294,0.6395743219750967,87.12214705380468,0.2628347670941698,0.12050396707240518,6.202100391299864,943.3216149569904,2.411154906601903e-16,1892.998684970433,3.603388801827669e-16,-0.0021992835843790237,1.9719188197217106e-16,-0.0017525449193929105,2.4740828000873686e-16,22193356280299.05,0.7409696296110639,1056039920336.4957,4.195552191823182,33779647218.25656,1.2659086229247818,5.1272639213875255,4.999928405900479,15.87787802496023,4.512405465936969,0.2445531189441681,0.34822630882263184,1.3268927335739136,1.0823396444320679,16.919321060180664,11.871246337890625,17.922496795654297,11.730249404907227,0.9830594062805176,1.243424654006958,15.804521560668945,0.18043677508831024,8.75521469116211,0.696183979511261,10.196200370788574,0.7733080387115479,12.793651580810547,0.7704009413719177
4,1.2743995189666748,2.401547721802168,3.4028189210673903,8.65602491470883,2.824324922135535,237.14597994466052,0.46676375675324155,749.6115644149854,0.40350454086388543,1152.850540827921,0.2616883673155707,107.69179518624277,0.7083170781616527,26.929270697505434,0.6698625312203391,87.02768038280601,0.27044926222101173,0.23126533286831813,4.1590087659712855,1057.7008659114945,2.1496973555683756e-16,1955.3407119351289,1.1628340475671305e-16,-0.0023671418145112264,1.8320865540696357e-16,-0.0017533259669619719,3.710213136342672e-16,20444621905857.05,0.6340889095043067,654933439843.1251,3.6414027853830393,28440925026.53984,1.3187968257806026,4.035165488871721,4.840047674975863,25.160290850115366,3.7370673474100427,0.2445531189441681,0.35613107681274414,1.3133234977722168,1.068770408630371,16.519912719726562,10.371519088745117,17.456205368041992,11.184859275817871,0.9825980067253113,1.232430338859558,15.804256439208984,0.18286490440368652,8.924653053283691,0.664332926273346,10.458197593688965,0.702293336391449,13.213418006896973,0.7043006420135498
5,1.236096739768982,2.625838493767842,3.3293003252522175,6.873557852960165,2.534362601215737,251.27164327088875,0.4157251979459478,736.4361337733436,0.3927973964278142,1140.644576812756,0.26501738321680196,108.94184295880537,0.6624059259895306,25.76387309868944,0.6329367912913956,88.35243078277256,0.24928128144175588,0.206955622038924,4.518715554821421,477.9272359125871,3.568121750935618e-16,1339.4689498974606,1.697491199483482e-16,-0.0004533238516632733,2.392469553536508e-16,-0.0016539544145490193,3.933127163415076e-16,14354457237897.842,0.8934298658282467,557387353334.8157,3.730038239603982,31615663043.144524,1.2624939711184449,5.005213935683052,4.407084182541338,15.744676905288753,5.018029844549171,0.2445531189441681,0.41061997413635254,1.2709622383117676,1.0264091491699219,18.974437713623047,11.987553596496582,19.546499252319336,12.085982322692871,0.9890632629394531,1.1898488998413086,15.545760154724121,0.19222207367420197,8.417342185974121,0.7386340498924255,10.028045654296875,0.7781680226325989,12.836018562316895,0.7545655369758606
6,1.1967984437942505,3.330841905629815,2.9076842333838737,6.148440580240262,3.2276828704030085,240.39146582143033,0.44493293037093107,721.5213487401985,0.39814444541361477,1141.7661384458763,0.26135361851481415,105.19391236587974,0.7042049457879994,26.152839699401163,0.5872608542257142,87.88615370682008,0.2625099207207039,0.37276894838534425,3.5645454677488186,542.7082317366004,0.0,1383.7002316534804,1.642791040837853e-16,-0.0005922489307979009,3.6613056304713794e-16,-0.001754186181896086,2.4722624854189624e-16,15684528259282.584,0.912676454405919,654392400428.6268,3.624785403742505,41195801149.67433,1.3046727368470143,6.3601109186544935,4.080914616561169,15.591567576496741,4.9880348199641364,0.2445531189441681,0.3881920874118805,1.4559236764907837,1.211370587348938,16.9067440032959,11.072993278503418,16.856958389282227,10.639032363891602,1.0307941436767578,1.1789488792419434,15.443338394165039,0.18593546748161316,8.328393936157227,0.7654179334640503,9.529168128967285,0.8675734996795654,12.269033432006836,0.8366134762763977
7,1.1584956645965576,1.9726475605471696,3.8369535890756303,9.670440011215268,2.699891812773158,236.21183802679448,0.4826903551892328,788.808566047152,0.4011225092278101,1105.227949119627,0.33159394646369816,100.16398372337108,0.7379187675771843,26.517558303604094,0.6672059931339022,81.21125754267582,0.347597448943773,0.19326503995898306,5.014020250662653,717.6800966186171,0.0,1617.1832022888882,2.811409317608668e-16,-0.0013946701589631486,3.108936699896131e-16,-0.0017547841915753863,3.7071299514459753e-16,18116210780892.832,0.787662712089267,639354022128.6704,4.026771153052342,22599839122.167595,1.3413134240162752,6.9166240631924225,5.228516751518991,20.08417787795681,5.889849259173556,0.2445531189441681,0.28865909576416016,1.104925274848938,0.8603721857070923,18.53302764892578,12.730244636535645,18.316295623779297,11.592031478881836,0.8688234686851501,1.3201123476028442,15.94804859161377,0.1803409457206726,8.95449161529541,0.6829026937484741,10.649685859680176,0.7087546586990356,13.74813461303711,0.6810661554336548
8,1.119097352027893,3.436128642378241,2.8577099633759433,6.22481563093524,2.6042573645602443,251.16997257825358,0.3788198375107152,674.8166728727404,0.4187284732812935,1095.7816664532945,0.2726590827138631,116.36044791333205,0.6257832443004016,27.97481124076075,0.656393707693904,92.29359233695638,0.23346043248645573,0.28842926406147623,4.2441971301870165,822.1497752824181,0.0,1379.7645539347502,3.2958329708473536e-16,-0.0014577003508968876,2.975103001980952e-16,-0.0017104664703075467,2.5354537871544754e-16,37507004030515.96,0.8460521043568763,1601707750204.7112,4.1654848769392485,55296111708.704445,1.2062328067542027,11.532041246500752,3.8771453113271663,27.924834943366136,4.1275704716835,0.2445531189441681,0.6357102394104004,1.6164896488189697,1.371936559677124,17.869203567504883,11.541783332824707,17.3848819732666,11.719642639160156,1.2837138175964355,1.0069948434829712,15.528244018554688,0.20021598041057587,7.57272481918335,0.800041139125824,8.201590538024902,1.0322113037109375,10.479866027832031,1.0393832921981812
9,1.0796990394592285,3.0303885474043635,3.038807512981215,6.711730396874678,3.688214114447421,243.98794314669874,0.4281783798785473,707.3870025738968,0.4052661839261576,1134.546453957354,0.2559796610769321,110.7872337010673,0.6657559113899028,26.657423767631638,0.6275059872731519,89.5405879647214,0.24991146840450637,0.25352529449459327,3.939183437794381,728.0455026938563,1.5615347845836695e-16,1399.7509898254305,3.248773204605326e-16,-0.0015647443467051885,4.157364778860368e-16,-0.0017555872333415085,2.4697953819119895e-16,25853021140342.043,0.7654006638734331,1036652479622.7992,3.5754048079200413,46813878848.87172,1.2863444985578951,7.1419626404598135,4.321965139619146,19.759946382721694,4.701892611982325,0.2445531189441681,0.5160452723503113,1.527700424194336,1.2831473350524902,17.971878051757812,12.002180099487305,18.267152786254883,10.960870742797852,1.1413530111312866,1.0931788682937622,15.55629825592041,0.18590930104255676,7.948636054992676,0.7805448174476624,9.111772537231445,0.8981807827949524,11.334691047668457,0.941051185131073
